gene	cluster	centroid	is_representative
GMGC10.039_405_889.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.016_580_513.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.031_610_135.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.004_615_722.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.004_633_594.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.043_683_145.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.035_121_361.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.041_016_553.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.030_760_272.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.004_612_487.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.033_655_916.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.011_674_057.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.009_387_869.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.044_326_307.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.024_512_762.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.009_369_041.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.027_195_278.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.036_921_975.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.039_612_796.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.031_388_723.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.002_252_458.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.036_611_662.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.031_278_011.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.016_316_372.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.041_016_181.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.027_200_087.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.022_190_743.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.040_085_897.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.024_559_436.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.022_779_635.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.023_605_737.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.017_651_645.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.021_583_276.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.039_452_519.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.038_043_960.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.014_207_541.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.036_424_749.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.026_336_657.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.039_272_258.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.025_348_480.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.018_661_649.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.027_204_052.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.041_453_408.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.026_762_949.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.021_903_203.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.016_561_039.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.035_577_330.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.015_667_612.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.004_625_838.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.017_115_295.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.026_717_649.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.019_001_057.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.011_938_809.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.029_083_595.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.011_954_551.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.019_416_756.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.016_847_777.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.011_921_582.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.011_947_717.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.004_621_069.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.039_432_759.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.036_028_740.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.016_115_229.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.029_868_228.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.020_015_803.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.040_304_507.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.037_569_967.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.044_323_682.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.009_381_821.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.026_486_791.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.019_223_651.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.026_856_431.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.016_844_657.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.037_688_398.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.011_915_716.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.019_558_674.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.020_172_750.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.038_004_109.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.020_918_623.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.014_941_191.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.026_066_187.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.014_183_576.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.019_547_301.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.015_850_238.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.011_928_686.MEXF	67	GMGC10.019_731_083.MEXF	no
GMGC10.039_461_595.MEXF	67	GMGC10.019_731_083.MEXF	no
