protein_id	cluster_90	cluster_95	cluster_975	cluster_98	cluster_99
resfinder@@@aadA7_2_AB114632	L.2281	L.2281.0	L.2281.0.0	L.2281.0.0.0	L.2281.0.0.0.0
resfinder@@@aadA2_1_NC_010870	L.1419	L.1419.0	L.1419.0.2	L.1419.0.2.0	L.1419.0.2.0.0
resfinder@@@aadD_2_M19465	L.2403	L.2403.0	L.2403.0.0	L.2403.0.0.0	L.2403.0.0.0.0
resfinder@@@aph(2'')-Ib_2_AF207840	L.1710	L.1710.0	L.1710.0.0	L.1710.0.0.0	L.1710.0.0.0.0
resfinder@@@aph(7'')-Ia_1_X03615	L.1432	L.1432.0	L.1432.0.0	L.1432.0.0.0	L.1432.0.0.0.0
resfinder@@@aph(9)-Ia_2_CR628337	L.1438	L.1438.0	L.1438.0.0	L.1438.0.0.0	L.1438.0.0.0.0
resfinder@@@aph(6)-Ia_2_Y00459	L.1582	L.1582.0	L.1582.0.0	L.1582.0.0.0	L.1582.0.0.0.0
resfinder@@@aph(6)-Id_1_M28829	L.1630	L.1630.0	L.1630.0.1	L.1630.0.1.0	L.1630.0.1.0.0
resfinder@@@aph(6)-Id_3_AB109805	L.1630	L.1630.0	L.1630.0.1	L.1630.0.1.0	L.1630.0.1.0.0
resfinder@@@aph(6)-Id_4_CP000971	L.1630	L.1630.0	L.1630.0.1	L.1630.0.1.0	L.1630.0.1.0.0
resfinder@@@aph(6)-Id_5_18676889	L.1630	L.1630.0	L.1630.0.1	L.1630.0.1.0	L.1630.0.1.0.0
resfinder@@@aph(3'')-Ia_2_AP009493	L.2153	L.2153.0	L.2153.0.0	L.2153.0.0.0	L.2153.0.0.0.0
resfinder@@@aph(3'')-Ia_3_M37378	L.2153	L.2153.0	L.2153.0.0	L.2153.0.0.0	L.2153.0.0.0.0
resfinder@@@aph(3'')-Ib_1_M28829	L.2112	L.2112.0	L.2112.0.0	L.2112.0.0.0	L.2112.0.0.0.0
resfinder@@@aph(3'')-Ib_3_AF321550	L.2112	L.2112.0	L.2112.0.0	L.2112.0.0.0	L.2112.0.0.0.0
resfinder@@@aph(3'')-Ib_4_AF313472	L.2112	L.2112.0	L.2112.0.0	L.2112.0.0.0	L.2112.0.0.0.0
resfinder@@@aadE-Cc_1_CP013733	L.1711	L.1711.0	L.1711.0.0	L.1711.0.0.0	L.1711.0.0.0.0
resfinder@@@ant(2'')-Ia_2_JF826500	L.2473	L.2473.0	L.2473.0.1	L.2473.0.1.0	L.2473.0.1.0.0
resfinder@@@ant(2'')-Ia_3_X74412	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@ant(2'')-Ia_4_AF458082	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.1
resfinder@@@ant(2'')-Ia_5_AY139594	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.2
resfinder@@@ant(2'')-Ia_6_AJ871915	L.2473	L.2473.0	L.2473.0.1	L.2473.0.1.0	L.2473.0.1.0.1
resfinder@@@ant(2'')-Ia_7_DQ018384	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@ant(2'')-Ia_8_AY920928	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@ant(2'')-Ia_9_HM367610	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.3
resfinder@@@ant(2'')-Ia_10_HM367617	L.2473	L.2473.0	L.2473.0.2	L.2473.0.2.0	L.2473.0.2.0.0
resfinder@@@ant(2'')-Ia_11_HM367620	L.2473	L.2473.0	L.2473.0.2	L.2473.0.2.0	L.2473.0.2.0.1
resfinder@@@ant(2'')-Ia_12_HQ880250	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@ant(2'')-Ia_13_DQ176450	L.2473	L.2473.0	L.2473.0.1	L.2473.0.1.0	L.2473.0.1.0.1
resfinder@@@ant(2'')-Ia_14_DQ266447	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@ant(2'')-Ia_15_EF205594	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@ant(2'')-Ia_16_HQ386848	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@ant(2'')-Ia_17_JTTZ01000034	L.2473	L.2473.0	L.2473.0.2	L.2473.0.2.0	L.2473.0.2.0.2
resfinder@@@ant(2'')-Ia_19_GQ466184	L.2473	L.2473.0	L.2473.0.1	L.2473.0.1.0	L.2473.0.1.0.2
resfinder@@@ant(2'')-Ia_20_AY139599	L.2473	L.2473.0	L.2473.0.3	L.2473.0.3.0	L.2473.0.3.0.0
resfinder@@@ant(2'')-Ia_1_X04555	L.2473	L.2473.0	L.2473.0.0	L.2473.0.0.0	L.2473.0.0.0.0
resfinder@@@aph(3')-VI_1_KC170992	L.2369	L.2369.0	L.2369.0.0	L.2369.0.0.0	L.2369.0.0.0.1
resfinder@@@aph(3')-XV_2_GQ626879	L.2229	L.2229.0	L.2229.0.0	L.2229.0.0.0	L.2229.0.0.0.0
resfinder@@@aph(3')-XV_3_EU165039	L.2229	L.2229.0	L.2229.0.0	L.2229.0.0.0	L.2229.0.0.0.1
resfinder@@@aph(3')-IIIa_1_AF330699	L.2299	L.2299.0	L.2299.0.0	L.2299.0.0.0	L.2299.0.0.0.0
resfinder@@@aph(3')-IIIa_2_AJ490186	L.2299	L.2299.0	L.2299.0.0	L.2299.0.0.0	L.2299.0.0.0.0
resfinder@@@aph(3')-IIIa_3_AB247327	L.2299	L.2299.0	L.2299.0.0	L.2299.0.0.1	L.2299.0.0.1.0
resfinder@@@aph(3')-Va_2_AB211959	L.2215	L.2215.0	L.2215.0.0	L.2215.0.0.0	L.2215.0.0.0.0
resfinder@@@aph(3')-Vb_2_AJ744850	L.2282	L.2282.0	L.2282.0.0	L.2282.0.0.0	L.2282.0.0.0.0
resfinder@@@aph(3')-IIa_2_V00618	L.2300	L.2300.0	L.2300.0.0	L.2300.0.0.0	L.2300.0.0.0.0
resfinder@@@aph(3')-IIb_2_CP006832	L.2230	L.2230.0	L.2230.0.0	L.2230.0.0.0	L.2230.0.0.0.0
resfinder@@@aph(3')-Ia_2_EU287476	L.2190	L.2190.0	L.2190.0.0	L.2190.0.0.0	L.2190.0.0.0.0
resfinder@@@aph(3')-Ia_3_EF015636	L.2190	L.2190.0	L.2190.0.1	L.2190.0.1.0	L.2190.0.1.0.0
resfinder@@@aph(3')-Ia_4_AF498082	L.2190	L.2190.0	L.2190.0.2	L.2190.0.2.0	L.2190.0.2.0.0
resfinder@@@aph(3')-Ia_5_AP004237	L.2190	L.2190.0	L.2190.0.3	L.2190.0.3.0	L.2190.0.3.0.0
resfinder@@@aph(3')-Ia_6_L05392	L.2190	L.2190.0	L.2190.0.2	L.2190.0.2.0	L.2190.0.2.0.1
resfinder@@@aph(3')-Ia_7_X62115	L.2190	L.2190.0	L.2190.0.2	L.2190.0.2.0	L.2190.0.2.0.2
resfinder@@@aph(3')-Ia_8_Y00452	L.2190	L.2190.0	L.2190.0.2	L.2190.0.2.1	L.2190.0.2.1.0
resfinder@@@aph(3')-Ia_9_EU722351	L.2190	L.2190.0	L.2190.0.2	L.2190.0.2.0	L.2190.0.2.0.3
resfinder@@@aph(3')-Ia_10_EU855787	L.2190	L.2190.0	L.2190.0.3	L.2190.0.3.0	L.2190.0.3.0.1
resfinder@@@aph(2'')-Ih_1_KF652096	L.1735	L.1735.0	L.1735.0.0	L.1735.0.0.0	L.1735.0.0.0.0
resfinder@@@aph(2'')-Ig_1_CP004067	L.1609	L.1609.0	L.1609.0.0	L.1609.0.0.0	L.1609.0.0.0.0
resfinder@@@aph(2'')-If_1_KF652097	L.1746	L.1746.0	L.1746.0.0	L.1746.0.0.0	L.1746.0.0.0.0
resfinder@@@aph(2'')-If_2_AY701528	L.1735	L.1735.1	L.1735.1.0	L.1735.1.0.0	L.1735.1.0.0.0
resfinder@@@aph(2'')-Ia_2_AP009486	L.636	L.636.0	L.636.0.0	L.636.0.0.0	L.636.0.0.0.0
resfinder@@@aph(2'')-Ia_3_AJ536195	L.636	L.636.0	L.636.0.0	L.636.0.0.0	L.636.0.0.0.0
resfinder@@@aph(2'')-Ib_3_KF652098	L.1710	L.1710.1	L.1710.1.0	L.1710.1.0.0	L.1710.1.0.0.0
resfinder@@@ant(6)-Ia_3_KF864551	L.1898	L.1898.0	L.1898.0.0	L.1898.0.0.0	L.1898.0.0.0.0
resfinder@@@aac(2')-Ia_1_L06156	L.2966	L.2966.0	L.2966.0.0	L.2966.0.0.0	L.2966.0.0.0.0
resfinder@@@aac(2')-Ib_1_U41471	L.2834	L.2834.0	L.2834.0.0	L.2834.0.0.0	L.2834.0.0.0.0
resfinder@@@aac(2')-Ic_1_U72714	L.2949	L.2949.0	L.2949.0.0	L.2949.0.0.0	L.2949.0.0.0.0
resfinder@@@aac(2')-Id_1_U72743	L.2747	L.2747.0	L.2747.0.0	L.2747.0.0.0	L.2747.0.0.0.0
resfinder@@@aac(2')-Ie_1_NC011896	L.2940	L.2940.0	L.2940.0.0	L.2940.0.0.0	L.2940.0.0.0.0
resfinder@@@aac(3)-I_1_AJ877225	L.3148	L.3148.0	L.3148.0.0	L.3148.0.0.0	L.3148.0.0.0.0
resfinder@@@aac(3)-Ia_1_X15852	L.2975	L.2975.0	L.2975.0.0	L.2975.0.0.0	L.2975.0.0.0.0
resfinder@@@aac(3)-Ib_1_L06157	L.2982	L.2982.0	L.2982.0.0	L.2982.0.0.0	L.2982.0.0.0.0
resfinder@@@aac(3)-Ib-aac(6')-Ib_1_AF355189	L.1430	L.1430.0	L.1430.0.0	L.1430.0.0.0	L.1430.0.0.0.0
resfinder@@@aac(3)-Ic_1_AJ511268	L.3143	L.3143.0	L.3143.0.0	L.3143.0.0.0	L.3143.0.0.0.0
resfinder@@@aac(3)-Id_1_AB114632	L.3103	L.3103.0	L.3103.0.0	L.3103.0.0.0	L.3103.0.0.0.0
resfinder@@@aac(3)-If_1_AY884051	L.3157	L.3157.0	L.3157.0.0	L.3157.0.0.0	L.3157.0.0.0.0
resfinder@@@aac(3)-Ig_1_CP000282	L.3104	L.3104.0	L.3104.0.0	L.3104.0.0.0	L.3104.0.0.0.0
resfinder@@@aac(3)-Ih_1_CP000490	L.3170	L.3170.0	L.3170.0.0	L.3170.0.0.0	L.3170.0.0.0.0
resfinder@@@aac(3)-Ii_1_CP000356	L.3177	L.3177.0	L.3177.0.0	L.3177.0.0.0	L.3177.0.0.0.0
resfinder@@@aac(3)-IIa_1_X51534	L.1684	L.1684.0	L.1684.0.0	L.1684.0.0.0	L.1684.0.0.0.0
resfinder@@@aac(3)-IIb_1_M97172	L.2216	L.2216.0	L.2216.0.0	L.2216.0.0.0	L.2216.0.0.0.0
resfinder@@@aac(3)-IIc_1_X54723	L.1684	L.1684.0	L.1684.0.1	L.1684.0.1.0	L.1684.0.1.0.0
resfinder@@@aac(3)-IId_1_EU022314	L.1684	L.1684.0	L.1684.0.2	L.1684.0.2.0	L.1684.0.2.0.0
resfinder@@@aac(3)-IIe_1_EU022315	L.1684	L.1684.0	L.1684.0.0	L.1684.0.0.0	L.1684.0.0.0.1
resfinder@@@aac(3)-IIIa_1_X55652	L.2191	L.2191.0	L.2191.0.0	L.2191.0.0.0	L.2191.0.0.0.0
resfinder@@@aac(3)-IIIb_1_L06160	L.2491	L.2491.0	L.2491.0.0	L.2491.0.0.0	L.2491.0.0.0.0
resfinder@@@aac(3)-IIIc_1_L06161	L.2033	L.2033.0	L.2033.0.0	L.2033.0.0.0	L.2033.0.0.0.0
resfinder@@@aac(3)-IVa_1_X01385	L.2253	L.2253.1	L.2253.1.0	L.2253.1.0.0	L.2253.1.0.0.0
resfinder@@@aac(3)-VIa_1_M88012	L.1696	L.1696.0	L.1696.0.0	L.1696.0.0.0	L.1696.0.0.0.0
resfinder@@@aac(3)-VIIa_1_M22999	L.1880	L.1880.0	L.1880.0.0	L.1880.0.0.0	L.1880.0.0.0.0
resfinder@@@aac(3)-VIIIa_1_M55426	L.1899	L.1899.0	L.1899.0.1	L.1899.0.1.0	L.1899.0.1.0.0
resfinder@@@aac(3)-IXa_1_M55427	L.2008	L.2008.0	L.2008.0.0	L.2008.0.0.0	L.2008.0.0.0.0
resfinder@@@aac(3)-Xa_1_AB028210	L.1944	L.1944.0	L.1944.0.0	L.1944.0.0.0	L.1944.0.0.0.0
resfinder@@@aac(6')-Ia_1_M18967	L.2905	L.2905.0	L.2905.0.0	L.2905.0.0.0	L.2905.0.0.0.0
resfinder@@@aac(6')-Ib_1_M21682	L.739	L.739.0	L.739.0.3	L.739.0.3.0	L.739.0.3.0.1
resfinder@@@aac(6')-Ic_1_M94066	L.3207	L.3207.0	L.3207.0.0	L.3207.0.0.0	L.3207.0.0.0.0
resfinder@@@aac(6')-If_1_X55353	L.3193	L.3193.0	L.3193.0.1	L.3193.0.1.0	L.3193.0.1.0.0
resfinder@@@aac(6')-Ig_1_L09246	L.3240	L.3240.0	L.3240.0.0	L.3240.0.0.0	L.3240.0.0.0.0
resfinder@@@aac(6')-Ih_1_L29044	L.3223	L.3223.0	L.3223.0.0	L.3223.0.0.0	L.3223.0.0.0.1
resfinder@@@aac(6')-Ij_1_L29045	L.3225	L.3225.0	L.3225.0.0	L.3225.0.0.0	L.3225.0.0.0.0
resfinder@@@aac(6')-Ik_1_L29510	L.3241	L.3241.0	L.3241.0.0	L.3241.0.0.0	L.3241.0.0.0.0
resfinder@@@aac(6')-Im_1_AF337947	L.2967	L.2967.0	L.2967.0.0	L.2967.0.0.0	L.2967.0.0.0.0
resfinder@@@aac(6')-Im_2_Z54241	L.2851	L.2851.0	L.2851.0.0	L.2851.0.0.0	L.2851.0.0.0.0
resfinder@@@aac(6')-Iq_1_AF047556	L.2901	L.2901.0	L.2901.0.0	L.2901.0.0.0	L.2901.0.0.0.0
resfinder@@@aac(6')-Ir_1_AF031326	L.3226	L.3226.0	L.3226.0.0	L.3226.0.0.0	L.3226.0.0.0.0
resfinder@@@aac(6')-Is_1_AF031327	L.3224	L.3224.1	L.3224.1.0	L.3224.1.0.0	L.3224.1.0.0.0
resfinder@@@aac(6')-It_1_AF031328	L.3223	L.3223.1	L.3223.1.0	L.3223.1.0.0	L.3223.1.0.0.0
resfinder@@@aac(6')-Iu_1_AF031329	L.3224	L.3224.2	L.3224.2.0	L.3224.2.0.0	L.3224.2.0.0.0
resfinder@@@aac(6')-Iv_1_AF031330	L.3223	L.3223.2	L.3223.2.0	L.3223.2.0.0	L.3223.2.0.0.0
resfinder@@@aac(6')-Iw_1_AF031331	L.3227	L.3227.0	L.3227.0.0	L.3227.0.0.0	L.3227.0.0.0.0
resfinder@@@aac(6')-Iz_1_AF140221	L.3156	L.3156.0	L.3156.0.1	L.3156.0.1.0	L.3156.0.1.0.0
resfinder@@@aac(6')-Iad_1_AB119105	L.3249	L.3249.0	L.3249.0.0	L.3249.0.0.0	L.3249.0.0.0.0
resfinder@@@aac(6')-Iae_1_AB104852	L.2933	L.2933.0	L.2933.0.0	L.2933.0.0.0	L.2933.0.0.0.0
resfinder@@@aac(6')-Iaf_1_AB462903	L.2851	L.2851.1	L.2851.1.0	L.2851.1.0.0	L.2851.1.0.0.0
resfinder@@@aac(6')-Iai_1_EU886977	L.2875	L.2875.0	L.2875.0.0	L.2875.0.0.0	L.2875.0.0.0.0
resfinder@@@aac(6')-I30_1_AY289608	L.2912	L.2912.0	L.2912.0.0	L.2912.0.0.0	L.2912.0.0.0.0
resfinder@@@aac(6')-31_1_AM283489	L.2916	L.2916.1	L.2916.1.0	L.2916.1.0.0	L.2916.1.0.0.0
resfinder@@@aac(6')-32_1_EF614235	L.2913	L.2913.0	L.2913.0.0	L.2913.0.0.0	L.2913.0.0.0.0
resfinder@@@aac(6')-33_1_GQ337064	L.2912	L.2912.1	L.2912.1.0	L.2912.1.0.0	L.2912.1.0.0.0
resfinder@@@aac(6')-IIa_1_M29695	L.767	L.767.0	L.767.0.0	L.767.0.0.0	L.767.0.0.0.0
resfinder@@@aac(6')-IIb_1_L06163	L.2924	L.2924.0	L.2924.0.0	L.2924.0.0.0	L.2924.0.0.0.0
resfinder@@@aac(6')-IIc_1_NC_012555	L.2833	L.2833.0	L.2833.0.0	L.2833.0.0.0	L.2833.0.0.0.0
resfinder@@@aac(6')-aph(2'')_1_M13771	L.636	L.636.0	L.636.0.0	L.636.0.0.0	L.636.0.0.0.0
resfinder@@@aac(6')-Isa_1_AB116646	L.3105	L.3105.0	L.3105.0.0	L.3105.0.0.0	L.3105.0.0.0.0
resfinder@@@aac(6')-Ib3_1_X60321	L.739	L.739.0	L.739.0.0	L.739.0.0.0	L.739.0.0.0.1
resfinder@@@aacA43_1_HQ247816	L.2893	L.2893.0	L.2893.0.0	L.2893.0.0.0	L.2893.0.0.0.0
resfinder@@@ant(3'')-Ia_1_X02340	L.1422	L.1422.0	L.1422.0.1	L.1422.0.1.0	L.1422.0.1.0.0
resfinder@@@aadA1_2_FJ591054	L.1422	L.1422.0	L.1422.0.3	L.1422.0.3.0	L.1422.0.3.0.0
resfinder@@@aadA1_3_JQ414041	L.1422	L.1422.0	L.1422.0.0	L.1422.0.0.0	L.1422.0.0.0.0
resfinder@@@aadA1b_1_M95287	L.1422	L.1422.0	L.1422.0.0	L.1422.0.0.0	L.1422.0.0.0.0
resfinder@@@aadA1_4_JQ480156	L.1422	L.1422.0	L.1422.0.0	L.1422.0.0.0	L.1422.0.0.0.0
resfinder@@@aadA1_5_JX185132	L.1422	L.1422.0	L.1422.0.0	L.1422.0.0.0	L.1422.0.0.0.0
resfinder@@@aadA2_2_JQ364967	L.1419	L.1419.0	L.1419.0.2	L.1419.0.2.0	L.1419.0.2.0.0
resfinder@@@aadA3_1_AF047479	L.1419	L.1419.0	L.1419.0.0	L.1419.0.0.0	L.1419.0.0.0.0
resfinder@@@aadA4_1_Z50802	L.2328	L.2328.0	L.2328.0.0	L.2328.0.0.0	L.2328.0.0.0.0
resfinder@@@aadA5_1_AF137361	L.2328	L.2328.0	L.2328.0.1	L.2328.0.1.0	L.2328.0.1.0.0
resfinder@@@aadA6_1_AF140629	L.739	L.739.0	L.739.0.1	L.739.0.1.0	L.739.0.1.0.0
resfinder@@@aadA7_1_AF224733	L.2281	L.2281.0	L.2281.0.0	L.2281.0.0.0	L.2281.0.0.0.0
resfinder@@@aadA8_1_AF326210	L.1419	L.1419.0	L.1419.0.3	L.1419.0.3.0	L.1419.0.3.0.0
resfinder@@@aadA8b_2_AM040708	L.1419	L.1419.0	L.1419.0.3	L.1419.0.3.0	L.1419.0.3.0.1
resfinder@@@aadA9_1_AJ420072	L.1718	L.1718.0	L.1718.0.0	L.1718.0.0.0	L.1718.0.0.0.0
resfinder@@@aadA10_1_U37105	L.2013	L.2013.0	L.2013.0.1	L.2013.0.1.0	L.2013.0.1.0.0
resfinder@@@aadA11_1_AY144590	L.739	L.739.0	L.739.0.1	L.739.0.1.0	L.739.0.1.0.1
resfinder@@@aadA12_1_AY665771	L.1419	L.1419.3	L.1419.3.0	L.1419.3.0.0	L.1419.3.0.0.0
resfinder@@@aadA13_1_AY713504	L.2280	L.2280.0	L.2280.0.0	L.2280.0.0.0	L.2280.0.0.0.1
resfinder@@@aadA14_1_AJ884726	L.2349	L.2349.0	L.2349.0.0	L.2349.0.0.0	L.2349.0.0.0.0
resfinder@@@aadA15_1_DQ393783	L.1422	L.1422.0	L.1422.0.4	L.1422.0.4.0	L.1422.0.4.0.0
resfinder@@@aadA16_1_EU675686	L.767	L.767.0	L.767.0.1	L.767.0.1.0	L.767.0.1.0.0
resfinder@@@aadA17_1_FJ460181	L.1419	L.1419.3	L.1419.3.0	L.1419.3.0.1	L.1419.3.0.1.0
resfinder@@@aadA21_1_AY171244	L.1422	L.1422.0	L.1422.0.3	L.1422.0.3.0	L.1422.0.3.0.0
resfinder@@@aadA22_1_AM261837	L.1422	L.1422.0	L.1422.0.3	L.1422.0.3.0	L.1422.0.3.0.0
resfinder@@@aadA23_1_AJ809407	L.1422	L.1422.0	L.1422.0.3	L.1422.0.3.0	L.1422.0.3.0.0
resfinder@@@aadA24_1_AM711129	L.1422	L.1422.3	L.1422.3.0	L.1422.3.0.0	L.1422.3.0.0.0
resfinder@@@ant(6)-Ia_2_KF421157	L.1912	L.1912.0	L.1912.0.0	L.1912.0.0.0	L.1912.0.0.0.0
resfinder@@@aadD_1_AF181950	L.2403	L.2403.0	L.2403.0.0	L.2403.0.0.0	L.2403.0.0.0.0
resfinder@@@aadK_1_M26879	L.1930	L.1930.0	L.1930.0.0	L.1930.0.0.1	L.1930.0.0.1.0
resfinder@@@ant(3'')-Ii-aac(6')-IId_1_AF453998	L.739	L.739.0	L.739.0.0	L.739.0.0.0	L.739.0.0.0.0
resfinder@@@ant(4')-Ib_1_AJ506108	L.2404	L.2404.0	L.2404.0.0	L.2404.0.0.0	L.2404.0.0.0.0
resfinder@@@ant(4')-IIa_1_M98270	L.2424	L.2424.0	L.2424.0.0	L.2424.0.0.0	L.2424.0.0.0.0
resfinder@@@ant(4')-IIb_1_AY114142	L.2442	L.2442.0	L.2442.0.0	L.2442.0.0.0	L.2442.0.0.0.0
resfinder@@@ant(6)-Ia_1_AF330699	L.1671	L.1671.0	L.1671.0.0	L.1671.0.0.0	L.1671.0.0.0.0
resfinder@@@ant(6)-Ib_1_FN594949	L.1945	L.1945.0	L.1945.0.0	L.1945.0.0.0	L.1945.0.0.0.0
resfinder@@@aph(2'')-Ib_1_AF337947	L.1710	L.1710.0	L.1710.0.0	L.1710.0.0.0	L.1710.0.0.0.1
resfinder@@@aph(2'')-Ic_1_U51479	L.1610	L.1610.0	L.1610.0.0	L.1610.0.0.0	L.1610.0.0.0.0
resfinder@@@aph(2'')-Id_1_AF016483	L.1689	L.1689.0	L.1689.0.0	L.1689.0.0.0	L.1689.0.0.0.0
resfinder@@@aph(2'')-Ie_1_AY743255	L.1689	L.1689.1	L.1689.1.0	L.1689.1.0.0	L.1689.1.0.0.0
resfinder@@@aph(3')-Ia_1_V00359	L.2190	L.2190.0	L.2190.0.2	L.2190.0.2.0	L.2190.0.2.0.0
resfinder@@@aph(3')-Ib_1_M20305	L.2192	L.2192.0	L.2192.0.0	L.2192.0.0.0	L.2192.0.0.0.0
resfinder@@@aph(3'')-Ic_1_DQ336355	L.2420	L.2420.0	L.2420.0.0	L.2420.0.0.0	L.2420.0.0.0.0
resfinder@@@aph(3')-Id_1_Z48231	L.2193	L.2193.0	L.2193.0.0	L.2193.0.0.0	L.2193.0.0.0.0
resfinder@@@aph(3')-IIa_1_X57709	L.2300	L.2300.0	L.2300.0.0	L.2300.0.0.0	L.2300.0.0.0.0
resfinder@@@aph(3')-IIb_1_X90856	L.2230	L.2230.0	L.2230.0.0	L.2230.0.0.0	L.2230.0.0.0.0
resfinder@@@aph(3')-IIc_1_AM743169	L.2204	L.2204.0	L.2204.0.0	L.2204.0.0.0	L.2204.0.0.0.0
resfinder@@@aph(3')-III_1_M26832	L.2299	L.2299.0	L.2299.0.0	L.2299.0.0.0	L.2299.0.0.0.0
