"V1","V2","d"
"aac(6')","WP_026868862.1","ARO:3002553"
"bla","WP_068885073.1","ARO:3008821"
"bla","WP_109545074.1","ARO:3005096"
"ampC","WP_311033290.1","ARO:3002521"
"aph(3')-II","QQK39289.1","ARO:3002645"
"aph(3'')","WP_010890156.1","ARO:3002639"
"blaOXA","WP_102607464.1","ARO:3005794"
"blaOXA","WP_064808581.1","ARO:3005795"
"aph(3')","QQK39289.1","ARO:3002645"
"tet","WP_063855881.1","ARO:3000569"
"ampC","WP_011339581.1","ARO:3004291"
"blaOXA","WP_277915723.1","ARO:3001413"
"bla","WP_219860713.1","ARO:3008079"
"bla","WP_063842700.1","ARO:3007635"
"bla","WP_123865086.1","ARO:3007840"
"bla","WP_061710074.1","ARO:3009035"
"cml","WP_115421099.1","ARO:3005043"
"aph(3')","WP_000422633.1","ARO:3002653"
"aac(3)","WP_063840272.1","ARO:3002541"
"fos","WP_015741374.1","ARO:3007371"
"aph(3')-II","WP_034024097.1","ARO:3002646"
"fos","WP_003082280.1","ARO:3000149"
"cml","WP_011552636.1","ARO:3005043"
"tet","WP_124470450.1","ARO:3007494"
"aph(3')","WP_011205810.1","ARO:3002642"
"bla","WP_003410677.1","ARO:3007182"
"bla","WP_006027381.1","ARO:3002482"
"rox","WP_015031687.1","ARO:3007209"
"blaOXA","WP_231869618.1","ARO:3008770"
"ampC","WP_004923134.1","ARO:3003854"
"catA","WP_005826111.1","ARO:3002685"
"fos","WP_012579083.1","ARO:3003209"
"ampC","WP_033642964.1","ARO:3006853"
"blaOXA","WP_014053563.1","ARO:3001809"
"bla","WP_105835300.1","ARO:3008995"
"catA","WP_004920769.1","ARO:3002685"
"ampC","WP_230924646.1","ARO:3007085"
"blaOXA","WP_046991607.1","ARO:3003620"
"cml","WP_063844234.1","ARO:3002701"
"fosA","WP_004146118.1","ARO:3004111"
"bla","WP_063860833.1","ARO:3006949"
"bla","WP_063842248.1","ARO:3002877"
"blaOXA","WP_003235647.1","ARO:3006902"
"ant(3'')","WP_004356282.1","ARO:3002604"
"blaOXA","WP_077021671.1","ARO:3008462"
"bla","WP_075226241.1","ARO:3006978"
"ampC","WP_063843235.1","ARO:3003553"
"blaOXA","WP_058052637.1","ARO:3008735"
"blaOXA","WP_161507793.1","ARO:3006103"
"ampC","WP_032489067.1","ARO:3002156"
"bla","WP_063844282.1","ARO:3003094"
"ampC","WP_042649345.1","ARO:3002191"
"mcr-3","WP_042649074.1","ARO:3004503"
"aac(6')","WP_048233550.1","ARO:3002553"
"mcr-3","WP_099156049.1","ARO:3004508"
"blaOXA","WP_139462269.1","ARO:3008580"
"ampC","WP_268871859.1","ARO:3008387"
"vanH","WP_063856708.1","ARO:3002942"
"vanA","WP_063856516.1","ARO:3000010"
"msr","WP_164941513.1","ARO:3005087"
"vanR","WP_063856726.1","ARO:3002928"
"vanY","WP_001812592.1","ARO:3002955"
"ampC","WP_063864750.1","ARO:3006999"
"erm","WP_063844922.1","ARO:3000596"
"bla","WP_063860831.1","ARO:3006947"
"cml","WP_005297378.1","ARO:3002703"
"erm","WP_063844894.1","ARO:3000596"
"ampC","WP_057991970.1","ARO:3006390"
"cml","WP_003971483.1","ARO:3002690"
"aph(3')","WP_216562158.1","ARO:3002641"
"bla","WP_005479236.1","ARO:3003151"
"bla","WP_015589625.1","ARO:3002255"
"bla","WP_063857821.1","ARO:3004740"
"ampC","WP_280147732.1","ARO:3007694"
"msr","WP_101035417.1","ARO:3007042"
"bla","WP_063839879.1","ARO:3002878"
"vga","WP_063856936.1","ARO:3002829"
"blaOXA","WP_075071939.1","ARO:3008507"
"erm","WP_010896559.1","ARO:3004643"
"blaOXA","WP_049291121.1","ARO:3008435"
"aph(2'')-I","WP_012655884.1","ARO:3002597"
"blaKHM","WP_338424101.1","ARO:3008228"
"aac(3)-I","WP_010792467.1","ARO:3002530"
"bla","WP_071766402.1","ARO:3003718"
"bla","WP_063842239.1","ARO:3003564"
"bla","WP_094009812.1","ARO:3006214"
"catB","WP_001009012.1","ARO:3002681"
"bla","WP_119059468.1","ARO:3008081"
"bla","WP_041258349.1","ARO:3006887"
"aac(6')","WP_058699631.1","ARO:3002572"
"ampC","WP_167809787.1","ARO:3009096"
"bla","WP_158386862.1","ARO:3007635"
"bla","WP_063857834.1","ARO:3004757"
"bla","WP_004197546.1","ARO:3004856"
"bla","WP_164461288.1","ARO:3006924"
"ampC","WP_012074328.1","ARO:3006699"
"blaOXA","WP_148281568.1","ARO:3005060"
"cml","WP_063844243.1","ARO:3002702"
"ampC","WP_311033293.1","ARO:3002521"
"aac(6')","WP_104467712.1","ARO:3004638"
"bla","WP_150896653.1","ARO:3008194"
"vanX","WP_063856778.1","ARO:3002954"
"vanH","WP_063856707.1","ARO:3002948"
"aph(3')","WP_063842178.1","ARO:3002650"
"sal","WP_082039181.1","ARO:3007028"
"aph(6)-I","WP_000116906.1","ARO:3002659"
"blaCHM","WP_202272142.1","ARO:3007855"
"bla-A","WP_034735227.1","ARO:3004768"
"arr","WP_000237816.1","ARO:3002847"
"blaOXA","WP_114268491.1","ARO:3005323"
"blaOXA","WP_004524931.1","ARO:3001772"
"dfr","WP_000868795.1","ARO:3002868"
"bla","WP_338373280.1","ARO:3007861"
"bla","WP_032489168.1","ARO:3002243"
"vanA","WP_001079845.1","ARO:3000010"
"lsa","WP_002296175.1","ARO:3000300"
"bla","WP_063865146.1","ARO:3007007"
"aph(3')","WP_001096887.1","ARO:3002647"
"erm","WP_063844521.1","ARO:3003971"
"aac(6')","WP_318245538.1","ARO:3002572"
"fosB","WP_072419811.1","ARO:3007069"
"bla","WP_063842862.1","ARO:3005097"
"erm","WP_063844819.1","ARO:3001304"
"blaOXA","WP_034015617.1","ARO:3008699"
"fos","WP_032492605.1","ARO:3002874"
"blaOXA","WP_072678505.1","ARO:3005937"
"blaDIM","WP_015588753.1","ARO:3000845"
"blaOXA","WP_012045014.1","ARO:3008509"
"blaBJP","WP_011088970.1","ARO:3000856"
"blaOXA","WP_268871878.1","ARO:3008591"
"bla","WP_105777201.1","ARO:3008989"
"bla","WP_010108817.1","ARO:3009007"
"blaOXA","WP_154205474.1","ARO:3005093"
"aph(3')","WP_012479999.1","ARO:3002646"
"tet","WP_012478245.1","ARO:3000195"
"fosB","WP_204376221.1","ARO:3007099"
"blaOXA","WP_032490761.1","ARO:3001794"
"blaOXA","WP_032490445.1","ARO:3001775"
"bla","WP_015684602.1","ARO:3000856"
"bla","WP_063860827.1","ARO:3006941"
"bla","WP_041881964.1","ARO:3006942"
"ant(6)","WP_003229862.1","ARO:3002627"
"blaOXA","WP_003328240.1","ARO:3004747"
"blaCTX-M","WP_061284984.1","ARO:3006927"
"fosA","WP_034169466.1","ARO:3003210"
"vanW","WP_021419095.1","ARO:3002965"
"ampC","WP_104009838.1","ARO:3006619"
"ampC","WP_016252988.1","ARO:3006658"
"aph(3')-II","WP_000572405.1","ARO:3002644"
"ampC","WP_109791204.1","ARO:3005296"
"bla","WP_029628776.1","ARO:3002246"
"bla","WP_408906789.1","ARO:3006908"
"vanA","WP_011029110.1","ARO:3003723"
"cfr","WP_015892743.1","ARO:3002815"
"msr","WP_000420313.1","ARO:3003109"
"bla","WP_012704143.1","ARO:3004764"
"bla","WP_071766622.1","ARO:3003894"
"ampC","WP_367187975.1","ARO:3009033"
"catB","WP_011113045.1","ARO:3002675"
"fos","WP_005475717.1","ARO:3007371"
"catB","WP_071846375.1","ARO:3002676"
"fosX","WP_024725385.1","ARO:3003208"
"rox","WP_011210071.1","ARO:3007210"
"blaOXA","WP_063864223.1","ARO:3001810"
"ampC","WP_253282916.1","ARO:3007650"
"bla","WP_059512353.1","ARO:3003204"
"catB","WP_010974114.1","ARO:3004451"
"aac(3)","WP_063840263.1","ARO:3002538"
"tet","WP_001973670.1","ARO:3000165"
"ampC","WP_063860889.1","ARO:3002515"
"fos","WP_204376246.1","ARO:3007371"
"blaOXA","WP_019396295.1","ARO:3008447"
"oqxB","WP_012967412.1","ARO:3003923"
"bla","WP_006766281.1","ARO:3009012"
"erm","WP_025811090.1","ARO:3000495"
"bla","WP_065825670.1","ARO:3004749"
"catA","WP_039139170.1","ARO:3004455"
"msr","WP_198462967.1","ARO:3007043"
"vga","WP_032492560.1","ARO:3002829"
"fosM","WP_204376221.1","ARO:3007099"
"vat","WP_063856935.1","ARO:3002845"
"blaPSV","WP_075226241.1","ARO:3006978"
"fosM","WP_066187568.1","ARO:3007098"
"blaOXA","WP_242934120.1","ARO:3008525"
"vat","WP_002328813.1","ARO:3002844"
"blaOXA","WP_087587944.1","ARO:3005777"
"cfr","WP_015735625.1","ARO:3003907"
"ant(9)","WP_002294509.1","ARO:3002630"
"vanY","WP_006285584.1","ARO:3002958"
"ant(9)","WP_000067268.1","ARO:3002630"
"bla","WP_063857839.1","ARO:3002250"
"bla","WP_012261328.1","ARO:3002878"
"ampC","WP_099156042.1","ARO:3002993"
"blaOXA","WP_031757092.1","ARO:3006089"
"bla","WP_105792310.1","ARO:3009007"
"aac(6')","WP_010107623.1","ARO:3002553"
"arr","WP_033959319.1","ARO:3002849"
"bla","WP_063842272.1","ARO:3007442"
"blaCAR","WP_011094382.1","ARO:3006903"
"bla","WP_013992183.1","ARO:3007006"
"blaOXA","WP_338424127.1","ARO:3008649"
"aph(3')","WP_063841661.1","ARO:3002646"
"tet","WP_010973639.1","ARO:3000561"
"blaOXA","WP_154205589.1","ARO:3005094"
"vanS","WP_063856741.1","ARO:3002931"
"bla","WP_002977989.1","ARO:3004766"
"ampC","WP_063860890.1","ARO:3002516"
"ampC","WP_148044425.1","ARO:3006575"
"aph(3')-II","WP_012479999.1","ARO:3002646"
"aph(3'')","WP_012377648.1","ARO:3002638"
"bla","WP_070064531.1","ARO:3004784"
"cfr","WP_002405682.1","ARO:3004649"
"ant(4')-I","WP_063840461.1","ARO:3002623"
"vanR","WP_006285581.1","ARO:3002925"
"vanY","WP_063856916.1","ARO:3002955"
"tet","WP_063854497.1","ARO:3002891"
"bla","WP_122630823.1","ARO:3006886"
"bla","WP_015266427.1","ARO:3006883"
"erm","WP_032488512.1","ARO:3000498"
"mph","WP_014386803.1","ARO:3003742"
"bla","WP_105807557.1","ARO:3009009"
"fos","WP_004146118.1","ARO:3004111"
"bla","WP_122630832.1","ARO:3006893"
"bla","WP_063842948.1","ARO:3000851"
"bla","WP_063865164.1","ARO:3007003"
"bla","WP_063864599.1","ARO:3006973"
"aac(3)-I","WP_011540937.1","ARO:3002530"
"ampC","WP_099982801.1","ARO:3002492"
"bla","WP_318245545.1","ARO:3008158"
"bla","WP_128268281.1","ARO:3006981"
"ampC","WP_256875632.1","ARO:3008871"
"blaOXA","WP_094865115.1","ARO:3001805"
"bla","WP_063842697.1","ARO:3000582"
"bla","WP_049088977.1","ARO:3008815"
"ampC","WP_408906788.1","ARO:3005150"
"ampC","WP_004384957.1","ARO:3006870"
"fos","WP_009486251.1","ARO:3004111"
"erm","WP_007286427.1","ARO:3000593"
"bla","WP_197749418.1","ARO:3006918"
"bla","WP_025370306.1","ARO:3002482"
"ampC","WP_322881141.1","ARO:3009032"
"aac(3)-I","WP_063840258.1","ARO:3002528"
"bla","WP_211862582.1","ARO:3008070"
"vanH","WP_063856700.1","ARO:3002948"
"erm","WP_003972831.1","ARO:3004652"
"bla","WP_041449074.1","ARO:3006896"
"blaOXA","WP_053921012.1","ARO:3005824"
"bla","WP_105825204.1","ARO:3008993"
"blaOXA","WP_375516073.1","ARO:3008706"
"ant(4')-I","WP_087346196.1","ARO:3003905"
"cml","WP_021038045.1","ARO:3002705"
"vanX","WP_011029111.1","ARO:3003725"
"bla","WP_179284320.1","ARO:3006187"
"abc-f","WP_053138477.1","ARO:3002828"
"vanR","WP_003126775.1","ARO:3002922"
"aac(3)-II","WP_033147097.1","ARO:3002534"
"bla","WP_060589395.1","ARO:3002299"
"bla","WP_274293093.1","ARO:3007823"
"bla","WP_060005294.1","ARO:3008997"
"bla","WP_094009807.1","ARO:3005500"
"bla","WP_105781374.1","ARO:3008988"
"aac(6')","WP_016575755.1","ARO:3002563"
"bla","WP_107999608.1","ARO:3008992"
"emt","WP_088245209.1","ARO:3004669"
"erm","WP_063844868.1","ARO:3002824"
"bla","WP_009821475.1","ARO:3006987"
"bla","WP_213603971.1","ARO:3007374"
"fosX","WP_054882068.1","ARO:3007370"
"bla","WP_063864745.1","ARO:3003720"
"aph(3')-I","WP_216562158.1","ARO:3002641"
"blaSGM","WP_009821475.1","ARO:3006987"
"bla","WP_063859390.1","ARO:3000855"
"qnrS","WP_012537714.1","ARO:3002791"
"bla","WP_012774820.1","ARO:3008193"
"blaOXA","WP_004919358.1","ARO:3007483"
"tet","WP_063855983.1","ARO:3000165"
"bla","WP_262697188.1","ARO:3009024"
"blaOXA","WP_064808881.1","ARO:3005325"
"bla","WP_105772526.1","ARO:3009022"
"bla","WP_242934078.1","ARO:3007196"
"nshR","WP_063854493.1","ARO:3003060"
"erm","WP_129546809.1","ARO:3007654"
"bla","WP_148044424.1","ARO:3006964"
"aac(6')","WP_054914207.1","ARO:3002585"
"ampC","WP_063857697.1","ARO:3006229"
"bla","WP_063842911.1","ARO:3003557"
"blaOXA","WP_240067734.1","ARO:3008474"
"blaOXA","WP_009388658.1","ARO:3008605"
"abc-f","WP_063843207.1","ARO:3002817"
"ampC","WP_249828069.1","ARO:3009065"
"ampC","WP_063840466.1","ARO:3009065"
"blaSPR","WP_012145975.1","ARO:3006996"
"bla","WP_122630831.1","ARO:3006864"
"blaOXA","WP_213994602.1","ARO:3008738"
"ant(3'')","WP_025991879.1","ARO:3004692"
"blaSGM","WP_004207704.1","ARO:3006992"
"aac(3)-I","WP_063856942.1","ARO:3002530"
"bla","WP_163122236.1","ARO:3009026"
"bla","WP_063842702.1","ARO:3002510"
"vanY","WP_063856920.1","ARO:3002955"
"fosB","WP_063851229.1","ARO:3005100"
"catA","WP_050945244.1","ARO:3002672"
"catA","WP_087344902.1","ARO:3004357"
"bla","WP_000799223.1","ARO:3004189"
"erm","WP_003183781.1","ARO:3000495"
"bla","WP_063854501.1","ARO:3009007"
"ampC","WP_064511499.1","ARO:3006525"
"erm","WP_001072201.1","ARO:3000347"
"blaOXA","WP_063861020.1","ARO:3001768"
"bla","WP_128268233.1","ARO:3005584"
"aph(3')-I","WP_000018321.1","ARO:3002641"
"blaACT","WP_220120526.1","ARO:3007921"
"bla","WP_029226214.1","ARO:3009007"
"blaSGM","WP_013846594.1","ARO:3006990"
"bla","WP_063857820.1","ARO:3000853"
"catB","WP_063843223.1","ARO:3003110"
"bla","WP_011088970.1","ARO:3000856"
"bla","WP_122630830.1","ARO:3006995"
"aac(6')","WP_024566461.1","ARO:3002572"
"bla-B1-FLAV","WP_012025466.1","ARO:3000840"
"bla","WP_150823494.1","ARO:3006977"
"erm","WP_063844815.1","ARO:3000594"
"abc-f","WP_063856491.1","ARO:3002827"
"bla","WP_105813799.1","ARO:3009002"
"aac(6')","WP_318245539.1","ARO:3002553"
"erm","WP_063844794.1","ARO:3002823"
"nshR","WP_063856492.1","ARO:3003060"
"aph(3'')","WP_063840676.1","ARO:3002638"
"aph(3')","WP_031129630.1","ARO:3002649"
"catB","WP_063843232.1","ARO:3002680"
"arr","WP_001749986.1","ARO:3002848"
"bla","WP_318245543.1","ARO:3008083"
"ampC","WP_039189232.1","ARO:3006228"
"tet","WP_063855885.1","ARO:3003196"
"vanS","WP_063856732.1","ARO:3002937"
"catB","WP_071766400.1","ARO:3002680"
"blaOXA","WP_178317675.1","ARO:3006088"
"blaOXA","WP_096807440.1","ARO:3003115"
"aac(3)","WP_031136588.1","ARO:3002542"
"bla","WP_081048762.1","ARO:3006954"
"ampC","WP_033998317.1","ARO:3005133"
"blaOXA","WP_004547230.1","ARO:3001771"
"bla","WP_009085188.1","ARO:3008084"
"bla","WP_010798607.1","ARO:3006943"
"catB","WP_063843224.1","ARO:3002676"
"tet","WP_003635403.1","ARO:3004603"
"ampC","WP_064511510.1","ARO:3006539"
"bla","WP_172692932.1","ARO:3005015"
"bla","WP_063865206.1","ARO:3006920"
"bla","WP_108361548.1","ARO:3005018"
"bla","WP_100663667.1","ARO:3006931"
"fos","WP_063851231.1","ARO:3003207"
"ampC","WP_242934122.1","ARO:3008861"
"bla","WP_256875606.1","ARO:3007848"
"ampC","WP_262961480.1","ARO:3008912"
"blaOXA","WP_051601260.1","ARO:3008508"
"blaOXA","WP_136512079.1","ARO:3005720"
"bla","WP_028030786.1","ARO:3003563"
"blaOXA","WP_046759755.1","ARO:3008562"
"erm","WP_014387027.1","ARO:3000522"
"blaOXA","WP_096735335.1","ARO:3005879"
"aph(3')","WP_016656536.1","ARO:3004086"
"ampC","WP_375516103.1","ARO:3008976"
"ampC","WP_150823479.1","ARO:3006691"
"fos","WP_004857515.1","ARO:3003209"
"blaPEN-bcc","WP_262697188.1","ARO:3009024"
"aac(3)-IV","WP_001199192.1","ARO:3002539"
"vanH","WP_011029109.1","ARO:3002948"
"aac(3)","WP_012377682.1","ARO:3002544"
"bla","WP_204376227.1","ARO:3006889"
"aph(3')","WP_030183523.1","ARO:3004680"
"bla","WP_012216561.1","ARO:3008997"
"bla","WP_063842263.1","ARO:3002482"
"fosB","WP_000943763.1","ARO:3007372"
"catB","WP_063843225.1","ARO:3002676"
"blaOXA","WP_023096365.1","ARO:3008456"
"vanX","WP_015943580.1","ARO:3003725"
"bla","WP_026025287.1","ARO:3006894"
"erm","WP_052259183.1","ARO:3003106"
"blaOXA","WP_125064048.1","ARO:3008501"
"cfr","WP_105119688.1","ARO:3005023"
"fos","WP_063851232.1","ARO:3007368"
"ampC","WP_029376317.1","ARO:3002519"
"bla","WP_000497840.1","ARO:3007101"
"bla","WP_262761957.1","ARO:3007118"
"blaOXA","WP_284495840.1","ARO:3008618"
"bla","WP_105841035.1","ARO:3008999"
"erm","WP_063844518.1","ARO:3000601"
"rox","WP_063851318.1","ARO:3002884"
"erm","WP_087587931.1","ARO:3004596"
"blaOXA","WP_020848173.1","ARO:3005725"
"bla","WP_087587937.1","ARO:3004738"
"bla","WP_063860932.1","ARO:3006958"
"ampC","WP_105620838.1","ARO:3006923"
"arr","WP_063857695.1","ARO:3002853"
"ampC","WP_099982803.1","ARO:3002489"
"bla","WP_140423326.1","ARO:3006975"
"blaOXA","WP_063862802.1","ARO:3001769"
"erm","WP_006745469.1","ARO:3000604"
"aac(6')","AAL20537.1","ARO:3002571"
"bla","WP_154469535.1","ARO:3007802"
"bla","WP_080700357.1","ARO:3008199"
"catA","WP_032490795.1","ARO:3004656"
"aph(3')","WP_000572405.1","ARO:3002644"
"blaOXA","WP_109545072.1","ARO:3005333"
"bla","WP_019083125.1","ARO:3003558"
"catB","WP_071593228.1","ARO:3002580"
"bla","WP_065597326.1","ARO:3006895"
"bla","WP_063842915.1","ARO:3003556"
"bla","WP_063860521.1","ARO:3006888"
"blaDIM","WP_015818996.1","ARO:3007002"
"ampC","WP_063860892.1","ARO:3002518"
"ampC","WP_058135553.1","ARO:3006822"
"ampC","WP_218519361.1","ARO:3009046"
"bla","WP_011495276.1","ARO:3007017"
"blaOXA","WP_034027761.1","ARO:3008443"
"aph(3')","WP_004861468.1","ARO:3004087"
"tet","WP_063855886.1","ARO:3000165"
"bla","WP_150823495.1","ARO:3005270"
"catA","WP_001010387.1","ARO:3004455"
"bla","WP_030877515.1","ARO:3000090"
"aac(6')","AAF03531.1","ARO:3002569"
"aph(3')","WP_034024097.1","ARO:3002646"
"blaOXA","WP_257394583.1","ARO:3008560"
"bla","WP_063864590.1","ARO:3003670"
"fosX","WP_063851233.1","ARO:3007369"
"bla","WP_052157330.1","ARO:3004786"
"blaOXA","WP_058375744.1","ARO:3001462"
"bla","WP_041884311.1","ARO:3006972"
"vanA","WP_016331865.1","ARO:3002913"
"aac(6')","WP_049440615.1","ARO:3002570"
"blaOXA","WP_219860714.1","ARO:3008734"
"aac(6')","WP_071593201.1","ARO:3004638"
"bla","WP_311033315.1","ARO:3008408"
"vanX","WP_016331866.1","ARO:3003725"
"ble","WP_063842998.1","ARO:3004660"
"bla","WP_268871863.1","ARO:3007445"
"ampC","WP_053813381.1","ARO:3006501"
"fos","WP_161667239.1","ARO:3005024"
"ampC","WP_058176209.1","ARO:3006480"
"qnrD","WP_032495680.1","ARO:3002789"
"blaPEN-bcc","WP_029226214.1","ARO:3009007"
"dfrA","WP_063844472.1","ARO:3002862"
"bla","WP_338424101.1","ARO:3008228"
"ampC","WP_148044401.1","ARO:3004647"
"aac(6')","WP_085334908.1","ARO:3004638"
"ampC","WP_087587964.1","ARO:3006578"
"ampC","WP_063859640.1","ARO:3002116"
"ampC","WP_148044435.1","ARO:3006713"
"blaSED","WP_063864602.1","ARO:3003561"
"vanY","WP_063856910.1","ARO:3002955"
"vanY","WP_107309513.1","ARO:3002961"
"bla","WP_209522946.1","ARO:3008175"
"ampC","WP_034051940.1","ARO:3005150"
"vga","WP_010989615.1","ARO:3004651"
"bla","WP_173179784.1","ARO:3007200"
"aac(6')","WP_000405752.1","ARO:3002572"
"ampC","WP_328703055.1","ARO:3008125"
"fosA","WP_025205684.1","ARO:3002804"
"tet","WP_100931729.1","ARO:3005006"
"ampC","WP_290468365.1","ARO:3007648"
"bla","WP_032489477.1","ARO:3006986"
"aph(3')","WP_063841507.1","ARO:3002647"
"bla","WP_063864748.1","ARO:3006998"
"bla","WP_064964747.1","ARO:3009040"
"aph(3'')","WP_063841015.1","ARO:3002640"
"erm","WP_038563636.1","ARO:3000602"
"dfrA","WP_063844458.1","ARO:3004644"
"mcr-3","WP_099982814.1","ARO:3004662"
"ampC","WP_063406924.1","ARO:3008125"
"aph(3')","WP_003113011.1","ARO:3002645"
"aac(6')","WP_013263788.1","ARO:3004635"
"vat","WP_032489635.1","ARO:3002840"
"bla","WP_085562383.1","ARO:3006911"
"bla","WP_105795180.1","ARO:3009014"
"ant(3'')","WP_011342946.1","ARO:3002605"
"fos","WP_038415208.1","ARO:3002804"
"blaOXA","WP_136512080.1","ARO:3005721"
"blaSPI","WP_002979282.1","ARO:3000841"
"bla","WP_105762373.1","ARO:3009011"
"tet","WP_002364936.1","ARO:3000186"
"vanS","WP_021418927.1","ARO:3002937"
"bla","WP_023857755.1","ARO:3007101"
"vanS","WP_011861275.1","ARO:3002937"
"blaIND","WP_063860627.1","ARO:3002260"
"bla","WP_005165780.1","ARO:3003558"
"ampC","WP_071593224.1","ARO:3005219"
"aac(6')","WP_016162901.1","ARO:3002562"
"vanA-Sc","WP_015943583.1","ARO:3003723"
"bla","WP_011816299.1","ARO:3003558"
"bla","WP_122630825.1","ARO:3006873"
"cml","WP_061345584.1","ARO:3005043"
"aac(6')","WP_063840323.1","ARO:3002558"
"blaOXA","WP_025889747.1","ARO:3008741"
"bla","WP_063857830.1","ARO:3002385"
"ampC","WP_188331862.1","ARO:3006233"
"bla","WP_063864595.1","ARO:3002368"
"bla","WP_109545039.1","ARO:3007000"
"blaOXA","WP_063861588.1","ARO:3001483"
"ampC","WP_109791194.1","ARO:3006637"
"aac(3)-II","WP_063840265.1","ARO:3004623"
"bla","WP_032492430.1","ARO:3000847"
"bla","WP_181726415.1","ARO:3007062"
"vat","WP_063856934.1","ARO:3002844"
"bla","WP_006259855.1","ARO:3000843"
"bla","WP_122630822.1","ARO:3006884"
"blaOXA","WP_331706252.1","ARO:3008705"
"bla","WP_012025466.1","ARO:3000840"
"bla","WP_063857870.1","ARO:3003175"
"bla","WP_063860830.1","ARO:3006946"
"blaBPU","WP_041816295.1","ARO:3004759"
"bla","WP_063839880.1","ARO:3004189"
"blaLAP","WP_031942394.1","ARO:3004825"
"ampC","WP_063839877.1","ARO:3002484"
"ampC","WP_179284370.1","ARO:3005312"
"cml","WP_000214125.1","ARO:3005043"
"aph(3')","WP_003132309.1","ARO:3002645"
"ampC","WP_042027926.1","ARO:3004450"
"msr","WP_063854317.1","ARO:3000251"
