protein_id	cluster_90	cluster_95	cluster_975	cluster_99
abricate-argannot@@@argannot~~~(AGly)aac3-Id~~~AB114632:104-580~~~	3103	3932	5068	7899
abricate-argannot@@@argannot~~~(AGly)aac3-If~~~AY884051:61-525~~~	3157	3989	5142	8014
abricate-argannot@@@argannot~~~(AGly)aac3-Ig~~~CP000282:2333620-2334096~~~	3104	3933	5069	7900
abricate-argannot@@@argannot~~~(AGly)aac3-Ih~~~CP000490:509912-510370~~~	3170	4013	5178	8072
abricate-argannot@@@argannot~~~(AGly)aac3-Ii~~~CP000356:638262-638720~~~	3177	4020	5188	8088
abricate-argannot@@@argannot~~~(AGly)aac3-I~~~AJ877225:5293-5757~~~	3148	3979	5131	8000
abricate-argannot@@@argannot~~~(AGly)aac3-I~~~X15852:1250-1783~~~	2975	3783	4906	7694
abricate-argannot@@@argannot~~~(AGly)aac3-VII~~~M22999:493-1359~~~	1880	2440	3166	4779
abricate-argannot@@@argannot~~~(AGly)aac3-VIa~~~M88012:193-1092~~~	1696	2197	2866	4216
abricate-argannot@@@argannot~~~(AGly)aac3-Vb~~~M97172:656-1465~~~	2216	2870	3797	6044
abricate-argannot@@@argannot~~~(AGly)aac3-Xa~~~AB028210:2711-3565~~~	1944	2523	3287	5161
abricate-argannot@@@argannot~~~(AGly)aac6-31~~~AJ640197:2474-2992~~~	2916	3719	4830	7540
abricate-argannot@@@argannot~~~(AGly)aac6-32~~~EF614235:2247-2801~~~	2913	3713	4824	7533
abricate-argannot@@@argannot~~~(AGly)aac6-33~~~GQ337064:1203-1757~~~	2912	3714	4825	7534
abricate-argannot@@@argannot~~~(AGly)aac6-Aph2~~~M13771:304-1743~~~	636	829	1039	1398
abricate-argannot@@@argannot~~~(AGly)aac6-I30~~~AY289608:1524-2078~~~	2912	3712	4823	7532
abricate-argannot@@@argannot~~~(AGly)aac6-IIa~~~M29695:707-1261~~~	767	986	1231	1656
abricate-argannot@@@argannot~~~(AGly)aac6-IIb~~~L06163:532-1074~~~	2924	3728	4841	7563
abricate-argannot@@@argannot~~~(AGly)aac6-IIc~~~AF162771:62-643~~~	2833	3625	4723	7334
abricate-argannot@@@argannot~~~(AGly)aac6-IL~~~Z54241:530-1051~~~	2851	3644	4743	7389
abricate-argannot@@@argannot~~~(AGly)aac6-Iaa~~~NC_003197:1707358-1707795~~~	3239	4112	5310	8264
abricate-argannot@@@argannot~~~(AGly)aac6-Iad~~~AB119105:1-435~~~	3249	4125	5327	8285
abricate-argannot@@@argannot~~~(AGly)aac6-Iaf~~~AB462903:1200-1751~~~	2851	3740	4855	7606
abricate-argannot@@@argannot~~~(AGly)aac6-Iai~~~EU886977:544-1110~~~	2875	3670	4773	7424
abricate-argannot@@@argannot~~~(AGly)aac6-Ia~~~M18967:757-1314~~~	2905	3705	4816	7522
abricate-argannot@@@argannot~~~(AGly)aac6-Ib~~~M21682:380-985~~~	739	957	4710	7320
abricate-argannot@@@argannot~~~(AGly)aac6-Ic~~~M94066:1554-1994~~~	3207	4051	5223	8130
abricate-argannot@@@argannot~~~(AGly)aac6-Id~~~X12618:905-1354~~~	3191	4034	5204	8110
abricate-argannot@@@argannot~~~(AGly)aac6-If~~~X55353:279-713~~~	3193	4036	5207	8113
abricate-argannot@@@argannot~~~(AGly)aac6-Ig~~~L09246:544-981~~~	3240	4113	5311	8265
abricate-argannot@@@argannot~~~(AGly)aac6-Ih~~~L29044:352-792~~~	3223	4082	5264	8200
abricate-argannot@@@argannot~~~(AGly)aac6-Ii~~~L12710:169-717~~~	2941	3748	4865	7631
abricate-argannot@@@argannot~~~(AGly)aac6-Ij~~~L29045:260-700~~~	3225	4084	5266	8201
abricate-argannot@@@argannot~~~(AGly)aac6-Ik~~~L29510:369-806~~~	3241	4114	5312	8266
abricate-argannot@@@argannot~~~(AGly)aac6-Im~~~AF337947:1215-1751~~~	2967	3775	4893	7676
abricate-argannot@@@argannot~~~(AGly)aac6-Iq~~~AF047556:127-678~~~	2901	3699	4806	7483
abricate-argannot@@@argannot~~~(AGly)aac6-Ir~~~AF031326:1-441~~~	3226	4085	5267	8202
abricate-argannot@@@argannot~~~(AGly)aac6-Is~~~AF031327:1-441~~~	3224	4086	5268	8203
abricate-argannot@@@argannot~~~(AGly)aac6-It~~~AF031328:1-441~~~	3223	4087	5269	8204
abricate-argannot@@@argannot~~~(AGly)aac6-Iu~~~AF031329:1-441~~~	3224	4088	5270	8205
abricate-argannot@@@argannot~~~(AGly)aac6-Iv~~~AF031330:1-441~~~	3223	4089	5271	8206
abricate-argannot@@@argannot~~~(AGly)aac6-Iw~~~AF031331:1-441~~~	3227	4090	5272	8207
abricate-argannot@@@argannot~~~(AGly)aac6-Iy~~~AF144880:3452-3979~~~	3239	4112	5310	8267
abricate-argannot@@@argannot~~~(AGly)aac6-Iz~~~AF140221:390-851~~~	3156	3988	5143	8015
abricate-argannot@@@argannot~~~(AGly)aac6~~~DQ302723:81-482~~~	3358	4281	5560	8631
abricate-argannot@@@argannot~~~(AGly)aac8~~~M55426:466-1326~~~	1899	2466	3216	4861
abricate-argannot@@@argannot~~~(AGly)aacA29b~~~AY139599:768-1148~~~	3349	4270	5549	8618
abricate-argannot@@@argannot~~~(AGly)aacA43~~~HQ247816:639-1202~~~	2893	3691	4798	7473
abricate-argannot@@@argannot~~~(AGly)aacA4~~~AF416297:2738-3304~~~	2644	958	1198	1619
abricate-argannot@@@argannot~~~(AGly)aac~~~AJ628983:1985-2539~~~	2907	3707	4818	7524
abricate-argannot@@@argannot~~~(AGly)aadA1-pm~~~JQ690540:7968-8798~~~	1422	1862	3512	5518
abricate-argannot@@@argannot~~~(AGly)aadA10~~~U37105:2807-3640~~~	2013	2603	3471	5463
abricate-argannot@@@argannot~~~(AGly)aadA11~~~AJ567827:1-792~~~	1419	3001	3964	6278
abricate-argannot@@@argannot~~~(AGly)aadA12~~~AY665771:1-792~~~	1419	3002	3967	6281
abricate-argannot@@@argannot~~~(AGly)aadA13~~~AY713504:1-798~~~	2280	2947	3892	6174
abricate-argannot@@@argannot~~~(AGly)aadA14~~~AJ884726:540-1325~~~	2349	3042	4026	6403
abricate-argannot@@@argannot~~~(AGly)aadA15~~~DQ393783:1800-2591~~~	1422	3002	3968	6282
abricate-argannot@@@argannot~~~(AGly)aadA16~~~EU675686:3197-4042~~~	767	986	3376	5286
abricate-argannot@@@argannot~~~(AGly)aadA17~~~FJ460181:774-1565~~~	1419	3002	3967	6283
abricate-argannot@@@argannot~~~(AGly)aadA1~~~M95287:3320-4111~~~	1422	1862	2461	3692
abricate-argannot@@@argannot~~~(AGly)aadA21~~~AY171244:47-838~~~	1422	1862	3965	6284
abricate-argannot@@@argannot~~~(AGly)aadA22~~~AM261837:74-865~~~	1422	1862	3965	6284
abricate-argannot@@@argannot~~~(AGly)aadA23~~~AJ809407:119-898~~~	1422	1862	3965	6284
abricate-argannot@@@argannot~~~(AGly)aadA24~~~HQ123586:88-768~~~	1422	3065	4050	6436
abricate-argannot@@@argannot~~~(AGly)aadA27~~~NG_054660:101-889~~~	2331	3021	4002	6352
abricate-argannot@@@argannot~~~(AGly)aadA2~~~X68227:66-945~~~	1419	1859	3737	3694
abricate-argannot@@@argannot~~~(AGly)aadA3~~~AF047479:1296-2087~~~	1419	1859	2458	3689
abricate-argannot@@@argannot~~~(AGly)aadA4~~~AY138986:1-798~~~	2328	3018	3997	6344
abricate-argannot@@@argannot~~~(AGly)aadA5~~~AF137361:64-852~~~	2328	3018	3998	6345
abricate-argannot@@@argannot~~~(AGly)aadA6~~~AF140629:61-906~~~	739	957	3375	5284
abricate-argannot@@@argannot~~~(AGly)aadA7~~~AF224733:32-829~~~	2281	2948	3893	6172
abricate-argannot@@@argannot~~~(AGly)aadA8b~~~AM040708:1174-1965~~~	1419	1859	3966	6280
abricate-argannot@@@argannot~~~(AGly)aadA8~~~AF326210:1-792~~~	1419	1859	3966	6279
abricate-argannot@@@argannot~~~(AGly)aadA9~~~AJ420072:26773-27609~~~	1718	2225	2895	4255
abricate-argannot@@@argannot~~~(AGly)aadB~~~JQ690540:4275-4808~~~	2473	3185	4204	6642
abricate-argannot@@@argannot~~~(AGly)aadC~~~V01282:225-701~~~	3106	3935	5071	7902
abricate-argannot@@@argannot~~~(AGly)aadD~~~AF181950:3176-3946~~~	2403	3104	4094	6491
abricate-argannot@@@argannot~~~(AGly)aadE-Cc~~~NG_054665:101-1000~~~	1711	2215	2885	4240
abricate-argannot@@@argannot~~~(AGly)aadE-Pp~~~HE577054:1299623-1300477~~~	1968	2549	3314	5196
abricate-argannot@@@argannot~~~(AGly)aadK-Pm~~~CP002869:c4442322-4441435~~~	1769	2291	2969	4376
abricate-argannot@@@argannot~~~(AGly)aadS~~~NG_047380:101-964~~~	1917	2487	3223	4872
abricate-argannot@@@argannot~~~(AGly)ant(3'')-IIa~~~NG_054648:101-889~~~	2332	3022	4003	6353
abricate-argannot@@@argannot~~~(AGly)ant(3'')-IIb~~~NG_054651:101-892~~~	2320	3005	3971	6287
abricate-argannot@@@argannot~~~(AGly)ant(3'')-IIc~~~NG_054654:101-889~~~	2331	3023	4004	6354
abricate-argannot@@@argannot~~~(AGly)ant(4')-Ic~~~KY753881:1-771~~~	2405	3106	4096	6493
abricate-argannot@@@argannot~~~(AGly)ant(9)-Ib~~~NG_047398:101-868~~~	2412	3113	4103	6503
abricate-argannot@@@argannot~~~(AGly)ant3''Ih-Aac6-IId~~~AF453998:3555-4946~~~	739	957	1197	1618
abricate-argannot@@@argannot~~~(AGly)ant4-IIa~~~M98270:145-903~~~	2424	3128	4129	6534
abricate-argannot@@@argannot~~~(AGly)ant4-IIb~~~AY114142:1061-1816~~~	2442	3150	4159	6579
abricate-argannot@@@argannot~~~(AGly)ant4-Ib~~~AJ506108:209-979~~~	2404	3105	4095	6492
abricate-argannot@@@argannot~~~(AGly)ant6-Ia~~~AF330699:22-930~~~	1671	2165	2826	4158
abricate-argannot@@@argannot~~~(AGly)ant6-Ib~~~FN594949:27482-28339~~~	1945	2524	3288	5162
abricate-argannot@@@argannot~~~(AGly)apH-Stph~~~HE579073:1778413-1779213~~~	2265	2929	3873	6144
abricate-argannot@@@argannot~~~(AGly)aph(2'')-IIa~~~NG_047402:1-900~~~	1710	2216	2886	4241
abricate-argannot@@@argannot~~~(AGly)aph(2'')-Ib~~~AF207840:272-1171~~~	1710	2214	2884	4239
abricate-argannot@@@argannot~~~(AGly)aph(2'')-Ic~~~U51479:196-1116~~~	1610	2100	2755	4074
abricate-argannot@@@argannot~~~(AGly)aph(2'')-Id~~~AF016483:131-1036~~~	1689	2186	2853	4200
abricate-argannot@@@argannot~~~(AGly)aph(2'')-Ie~~~AY939911:3536-4441~~~	1689	2187	2854	4201
abricate-argannot@@@argannot~~~(AGly)aph(2'')-If~~~NG_047406:1-891~~~	1746	2263	2937	4328
abricate-argannot@@@argannot~~~(AGly)aph(2'')-Ig~~~NG_047407:101-1021~~~	1609	2099	2754	4073
abricate-argannot@@@argannot~~~(AGly)aph(2'')-Ih~~~NG_047408:1-894~~~	1735	2248	2919	4305
abricate-argannot@@@argannot~~~(AGly)aph(3'')-III~~~V01547:535-1329~~~	2299	2975	3928	6228
abricate-argannot@@@argannot~~~(AGly)aph(3'')-IIb~~~X90856:388-1194~~~	2230	2887	3823	6081
abricate-argannot@@@argannot~~~(AGly)aph(3'')-Ia1~~~AP009493:267117-267935~~~	2153	2783	3646	5799
abricate-argannot@@@argannot~~~(AGly)aph(3'')-Ia~~~FJ172370:38668-39483~~~	2190	2842	3763	5984
abricate-argannot@@@argannot~~~(AGly)aph(3'')-Ic~~~DQ336355:603-1367~~~	2420	3121	4111	6511
abricate-argannot@@@argannot~~~(AGly)aph(3')-IX~~~NG_055648:101~~~	2260	2922	3860	6123
abricate-argannot@@@argannot~~~(AGly)aph(3')-Ic~~~KP119857:914-1729~~~	2190	2842	3763	5984
abricate-argannot@@@argannot~~~(AGly)aph(9)-ib~~~NG_047474:101-1093~~~	1439	1887	2492	3727
abricate-argannot@@@argannot~~~(AGly)aph-VIII~~~AF182845:1-804~~~	2231	2889	3825	6084
abricate-argannot@@@argannot~~~(AGly)aph3-IIc~~~HQ424460:2-805~~~	2232	2890	3826	6085
abricate-argannot@@@argannot~~~(AGly)aph3-IV~~~X03364:277-1065~~~	2329	3019	3999	6346
abricate-argannot@@@argannot~~~(AGly)aph3-Ia~~~HQ840942:23569-24384~~~	2190	2842	3763	5981
abricate-argannot@@@argannot~~~(AGly)aph3-Ib~~~M20305:779-1594~~~	2192	2844	3766	5988
abricate-argannot@@@argannot~~~(AGly)aph3-Id~~~Z48231:820-1635~~~	2193	2845	3767	5989
abricate-argannot@@@argannot~~~(AGly)aph3-VIIa~~~M29953:131-1036~~~	2451	3159	4169	6589
abricate-argannot@@@argannot~~~(AGly)aph3-VIb~~~AJ627643:4934-5713~~~	2369	3066	4051	6438
abricate-argannot@@@argannot~~~(AGly)aph3-Va~~~U24442:680-1456~~~	2382	3080	4067	6455
abricate-argannot@@@argannot~~~(AGly)aph3-Vb~~~M22126:373-1164~~~	2282	2949	3894	6231
abricate-argannot@@@argannot~~~(AGly)aph3-Vc~~~S81599:282-1076~~~	2301	2977	3930	6232
abricate-argannot@@@argannot~~~(AGly)aph4-Ia~~~V01499:231-1256~~~	1404	1842	2437	3664
abricate-argannot@@@argannot~~~(AGly)aph4-Ib~~~X03615:232-1230~~~	1432	1874	2474	3708
abricate-argannot@@@argannot~~~(AGly)aph6-Ia~~~AY971801:1-924~~~	1582	2056	2696	4007
abricate-argannot@@@argannot~~~(AGly)aph6-Ib~~~X05648:382-1305~~~	1595	2084	2738	4056
abricate-argannot@@@argannot~~~(AGly)aph7~~~GG774704:686456-687373~~~	1624	2115	2772	4095
abricate-argannot@@@argannot~~~(AGly)aph9-Ia~~~U94857:151-1146~~~	1435	1881	2485	3720
abricate-argannot@@@argannot~~~(AGly)aph9-Ib~~~U70376:3618-4541~~~	1597	2086	2740	4058
abricate-argannot@@@argannot~~~(AGly)aphA15~~~Y18050:4758-5552~~~	2229	2886	3822	6080
abricate-argannot@@@argannot~~~(AGly)aphA16~~~NG_051908:101-889~~~	2333	3024	4005	6355
abricate-argannot@@@argannot~~~(AGly)aphA2~~~X57709:1-795~~~	2300	2976	3929	6230
abricate-argannot@@@argannot~~~(AGly)aphA6~~~JF949760:695-1474~~~	2369	3064	4049	6437
abricate-argannot@@@argannot~~~(AGly)aphEII~~~X53527:1-819~~~	2153	2783	3646	5800
abricate-argannot@@@argannot~~~(AGly)aphEI~~~M37378:298-1116~~~	2153	2783	3646	5799
abricate-argannot@@@argannot~~~(AGly)apmA~~~FN806789:2858-3682~~~	2130	2759	3605	5689
abricate-argannot@@@argannot~~~(AGly)armA~~~AY220558:1978-2751~~~	2391	3089	4076	6465
abricate-argannot@@@argannot~~~(AGly)grm~~~NG_047907:101-925~~~	2124	2751	3584	5629
abricate-argannot@@@argannot~~~(AGly)kamB~~~NG_050562:101-748~~~	2707	3480	4550	7101
abricate-argannot@@@argannot~~~(AGly)npmA~~~AB261016:3069-3728~~~	2677	3447	4510	7052
abricate-argannot@@@argannot~~~(AGly)rmtA~~~AB120321:6677-7432~~~	2443	3151	4160	6581
abricate-argannot@@@argannot~~~(AGly)rmtB2~~~JN968578:1-756~~~	2421	3125	4123	6580
abricate-argannot@@@argannot~~~(AGly)rmtB3~~~NG_051535:1-756~~~	2421	3125	4165	6580
abricate-argannot@@@argannot~~~(AGly)rmtB4~~~NG_051536:1-756~~~	2421	3125	4123	6525
abricate-argannot@@@argannot~~~(AGly)rmtB~~~AB103506:1410-2165~~~	2421	3125	4123	6525
abricate-argannot@@@argannot~~~(AGly)rmtC~~~AB194779:6903-7748~~~	2009	2598	3377	5287
abricate-argannot@@@argannot~~~(AGly)rmtD2~~~HQ401565:14882-14139~~~	2487	3199	4221	6671
abricate-argannot@@@argannot~~~(AGly)rmtD~~~DQ914960:9632-8889~~~	2487	3199	4220	6670
abricate-argannot@@@argannot~~~(AGly)rmtE2~~~NG_050559:101-922~~~	2154	2784	3647	5801
abricate-argannot@@@argannot~~~(AGly)rmtE~~~GU201947:55-876~~~	2154	2784	3647	5801
abricate-argannot@@@argannot~~~(AGly)rmtF~~~JQ808129:55-876~~~	2371	3068	4053	6440
abricate-argannot@@@argannot~~~(AGly)rmtG~~~JX486113:1-795~~~	2302	2978	3931	6233
abricate-argannot@@@argannot~~~(AGly)rmtH~~~KC544262:666-1424~~~	2432	3139	4148	6566
abricate-argannot@@@argannot~~~(AGly)sat-2A~~~X51546:518-1042~~~	603	768	936	1231
abricate-argannot@@@argannot~~~(AGly)sat3~~~Z48231:221-763~~~	2955	3762	4879	7656
abricate-argannot@@@argannot~~~(AGly)sat4A~~~X92945:38870-39412~~~	2956	3763	4880	7657
abricate-argannot@@@argannot~~~(AGly)satA~~~NG_064662:101_622~~~	2990	3801	4925	7719
abricate-argannot@@@argannot~~~(AGly)spc~~~X02588:331-1113~~~	2359	3052	4036	6416
abricate-argannot@@@argannot~~~(AGly)sph-I~~~HQ424461:18-830~~~	2204	2858	3784	6022
abricate-argannot@@@argannot~~~(AGly)sph~~~AY037297:2706-3548~~~	2025	2617	3405	5356
abricate-argannot@@@argannot~~~(AGly)spw~~~NG_048075:101-910~~~	2220	2873	3804	6054
abricate-argannot@@@argannot~~~(AGly)sta~~~NG_048077:101-670~~~	2873	3668	4769	7419
abricate-argannot@@@argannot~~~(AGly)strA~~~AB366441:22458-23261~~~	2112	2734	3558	5589
abricate-argannot@@@argannot~~~(AGly)strB~~~FJ474091:264-1100~~~	1630	2122	3284	5140
abricate-argannot@@@argannot~~~(AGly)str~~~X92946:18908-18060~~~	1995	2582	3356	5260
abricate-argannot@@@argannot~~~(AGly)vph~~~NG_048566:101-982~~~	1794	2319	3001	4418
abricate-argannot@@@argannot~~~(AGly_Flqn)aac(6')-Ib-cr~~~EF636461:1124-1642~~~	739	957	4717	7328
abricate-argannot@@@argannot~~~(Bla)AmpC1_Ecoli~~~FN649414:2765051-2766355~~~	846	1087	1361	1828
abricate-argannot@@@argannot~~~(Bla)AmpC2_Ecoli~~~CP002970:332756-333889~~~	895	1145	1427	3289
abricate-argannot@@@argannot~~~(Bla)BJP-1~~~NG_048709:101-985~~~	1795	2320	3002	4419
abricate-argannot@@@argannot~~~(Bla)BLA-1~~~AY453161:501-1430~~~	1433	2020	2648	3933
abricate-argannot@@@argannot~~~(Bla)BSU-1~~~NG_050942:101-904~~~	2247	2907	3844	6106
abricate-argannot@@@argannot~~~(Bla)BlaA1~~~NC_010410:1803480-1804499~~~	1413	1852	2449	3679
abricate-argannot@@@argannot~~~(Bla)BlaA2~~~NC_010410:2507740-2509014~~~	881	1128	1406	1879
abricate-argannot@@@argannot~~~(Bla)CARB-10~~~EU850412:2270-3166~~~	1702	2203	2872	4283
abricate-argannot@@@argannot~~~(Bla)CARB-11~~~AY008290:1-867~~~	1316	1737	2302	3485
abricate-argannot@@@argannot~~~(Bla)CARB-1~~~D86225:232-1098~~~	1316	1737	2302	4838
abricate-argannot@@@argannot~~~(Bla)CARB-2~~~HQ157204:747-1613~~~	1316	1737	2302	3485
abricate-argannot@@@argannot~~~(Bla)CARB-3~~~S46063:122-1036~~~	1389	1824	2410	3621
abricate-argannot@@@argannot~~~(Bla)CARB-49~~~NG_051466:1-897~~~	1702	2203	2872	4225
abricate-argannot@@@argannot~~~(Bla)CARB-4~~~AY913772:1600-2466~~~	1851	2393	3095	4586
abricate-argannot@@@argannot~~~(Bla)CARB-5~~~AF135373:12-908~~~	1702	2203	2872	4225
abricate-argannot@@@argannot~~~(Bla)CARB-6~~~AF030945:96-962~~~	1389	2470	2573	3821
abricate-argannot@@@argannot~~~(Bla)CARB-7~~~AF409092:888-1754~~~	1690	2188	2855	4837
abricate-argannot@@@argannot~~~(Bla)CARB-8_OU~~~AY178993:575-1471~~~	1702	2203	2872	4225
abricate-argannot@@@argannot~~~(Bla)CARB-8~~~NG_035647:3623-4489~~~	1316	1737	2302	4838
abricate-argannot@@@argannot~~~(Bla)CARB-9~~~AY248038:2073-2939~~~	1690	2188	2855	4202
abricate-argannot@@@argannot~~~(Bla)CfiA1~~~AB087225:1-750~~~	2433	3140	4149	6614
abricate-argannot@@@argannot~~~(Bla)Mbl~~~NC_010410:c1997136-1996441~~~	2614	3363	4419	6943
abricate-argannot@@@argannot~~~(Bla)MecI~~~NG_050586:101-475~~~	3385	4320	5605	8680
abricate-argannot@@@argannot~~~(Bla)PBP1a~~~JN645776:1-2160~~~	293	379	446	530
abricate-argannot@@@argannot~~~(Bla)PBP1b~~~AF101781:1-2466~~~	242	319	372	448
abricate-argannot@@@argannot~~~(Bla)Penicillin_Binding_Protein_Ecoli~~~CP002291:664439-666340~~~	378	501	609	823
abricate-argannot@@@argannot~~~(Bla)VEB-14~~~NG_050322:1-897~~~	1667	2161	2820	4244
abricate-argannot@@@argannot~~~(Bla)VEB-15~~~NG_050323:1-900~~~	1667	2161	2820	4151
abricate-argannot@@@argannot~~~(Bla)Zn-dependent_hydrolase~~~NC_010410:882015-882977~~~	1503	1960	2570	3818
abricate-argannot@@@argannot~~~(Bla)aci1~~~AJ007350:240-1094~~~	1963	2544	3309	5190
abricate-argannot@@@argannot~~~(Bla)ampH_Ecoli~~~AP012030:395554-396711~~~	1170	1522	1957	2768
abricate-argannot@@@argannot~~~(Bla)ampH~~~CP003785:4208384-4209544~~~	1161	1508	1939	2739
abricate-argannot@@@argannot~~~(Bla)ampS~~~NC_014932:210005-211252~~~	924	1178	1465	1944
abricate-argannot@@@argannot~~~(Bla)beta-lactamase_class-C~~~NC_010410:1184557-1185747~~~	1058	1373	1759	2426
abricate-argannot@@@argannot~~~(Bla)bla2a~~~M28303:243-1187~~~	1528	1990	2608	3881
abricate-argannot@@@argannot~~~(Bla)bla2~~~NG_047224:101-874~~~	2365	2989	4080	6470
abricate-argannot@@@argannot~~~(Bla)blaACC-1~~~AJ133121:650-1810~~~	1110	1444	1852	2591
abricate-argannot@@@argannot~~~(Bla)blaACC-2~~~AF180952:1565-2737~~~	1110	1442	1848	2584
abricate-argannot@@@argannot~~~(Bla)blaACC-3~~~AF180957:1-1131~~~	1131	1475	1890	2665
abricate-argannot@@@argannot~~~(Bla)blaACC-4~~~EF504260:1995-3155~~~	1110	1444	1852	2591
abricate-argannot@@@argannot~~~(Bla)blaACC-5~~~HE819401:1-1161~~~	1110	1444	1852	2591
abricate-argannot@@@argannot~~~(Bla)blaACT-10~~~JN848330:1-1146~~~	1204	1588	2082	3031
abricate-argannot@@@argannot~~~(Bla)blaACT-12~~~JX440355:752-1897~~~	1035	1571	2050	2983
abricate-argannot@@@argannot~~~(Bla)blaACT-14~~~JX440354:757-1902~~~	925	1179	1466	1945
abricate-argannot@@@argannot~~~(Bla)blaACT-15~~~JX440356:755-1900~~~	925	1179	1467	1946
abricate-argannot@@@argannot~~~(Bla)blaACT-16~~~:NG_050702~~~	925	1179	1467	1948
abricate-argannot@@@argannot~~~(Bla)blaACT-1~~~U58495:28-1173~~~	1204	1588	2080	3027
abricate-argannot@@@argannot~~~(Bla)blaACT-2~~~AM076977:1-1146~~~	1204	1588	2080	3027
abricate-argannot@@@argannot~~~(Bla)blaACT-38~~~KP836350:1-1146~~~	1204	1588	2081	3030
abricate-argannot@@@argannot~~~(Bla)blaACT-3~~~EU427302:1476-2618~~~	1204	1588	2117	3028
abricate-argannot@@@argannot~~~(Bla)blaACT-4~~~AJ311172:12-1157~~~	1204	1588	2080	3028
abricate-argannot@@@argannot~~~(Bla)blaACT-5~~~FJ237369:1-1146~~~	925	1179	1466	3029
abricate-argannot@@@argannot~~~(Bla)blaACT-6~~~FJ237366:41-1186~~~	1204	1588	2081	3030
abricate-argannot@@@argannot~~~(Bla)blaACT-7~~~FJ237368:1-1146~~~	925	1179	1467	2801
abricate-argannot@@@argannot~~~(Bla)blaACT-8~~~FN645445:1-1146~~~	1204	1588	2080	3068
abricate-argannot@@@argannot~~~(Bla)blaACT-9~~~HQ693810:1009-2151~~~	1035	1341	1719	3112
abricate-argannot@@@argannot~~~(Bla)blaADC-10~~~NG_048634:1-1167~~~	1058	1373	1906	2683
abricate-argannot@@@argannot~~~(Bla)blaADC-11~~~NG_048635:1-1152~~~	1058	1373	1759	2426
abricate-argannot@@@argannot~~~(Bla)blaADC-12~~~NG_048636:1-1152~~~	1058	1373	1977	2820
abricate-argannot@@@argannot~~~(Bla)blaADC-13~~~NG_048637:1-1152~~~	1058	1373	1989	2821
abricate-argannot@@@argannot~~~(Bla)blaADC-14~~~NG_048638:1-1152~~~	1058	1373	1989	2821
abricate-argannot@@@argannot~~~(Bla)blaADC-15~~~NG_048639:1-1152~~~	1058	1544	1990	2822
abricate-argannot@@@argannot~~~(Bla)blaADC-16~~~NG_048640:1-1152~~~	1058	1373	1991	2823
